Expiration,CBid,CAsk,CVolume,COI,Strike,PBid,PAsk,PVolume,POI
19951,0.01,0.04,0,3281,300.0,81.75,83.05,0,0
19951,0.0,0.04,1,99,305.0,86.65,88.05,0,0
19951,0.0,0.1,0,1205,310.0,91.75,93.05,0,0
19951,0.0,0.03,1,399,315.0,96.65,98.05,0,0
19951,0.0,0.03,1,2322,320.0,101.75,103.05,0,0
19951,0.0,0.02,0,1506,330.0,111.75,113.05,0,0
19951,0.0,0.02,65,3963,340.0,121.75,123.05,0,0
19951,0.0,0.22,0,1192,350.0,131.75,133.05,0,0
19951,0.0,0.01,0,1324,360.0,141.75,143.05,0,0
19951,0.0,0.01,5,5666,370.0,151.75,153.05,0,0
19958,117.15,118.2,0,1,100.0,0.0,0.24,0,0
19958,112.25,113.2,0,1,105.0,0.0,0.25,0,0
19958,107.25,109.15,0,0,110.0,0.0,0.25,0,0
19958,102.2,103.25,0,0,115.0,0.0,0.26,0,0
19958,97.2,99.2,0,30,120.0,0.0,0.06,0,0
19958,92.3,93.3,0,34,125.0,0.0,0.37,0,1
19958,87.35,89.25,0,0,130.0,0.0,0.06,0,381
19958,82.4,84.35,1,0,135.0,0.0,0.07,0,2
19958,77.4,79.3,0,2,140.0,0.03,0.09,0,315
19958,72.5,73.45,0,0,145.0,0.05,0.11,0,20
19958,67.5,68.45,0,2,150.0,0.06,0.12,0,21
19958,62.55,63.5,0,0,155.0,0.03,0.19,0,4
19958,57.6,59.5,0,4,160.0,0.1,0.17,0,10
19958,52.65,53.65,0,1,165.0,0.14,0.17,0,48
19958,47.7,49.6,0,63,170.0,0.21,0.22,73,24
19958,42.85,43.8,4,62,175.0,0.25,0.3,171,29
19958,37.9,38.9,2,17,180.0,0.35,0.38,31,216
19958,33.05,33.9,0,26,185.0,0.47,0.52,820,99
19958,28.3,29.95,8,73,190.0,0.71,0.78,154,662
19958,24.1,24.45,5,37,195.0,1.08,1.22,88,232
19958,19.7,20.2,21,110,200.0,1.62,1.8,638,726
19958,15.65,16.1,7,156,205.0,2.52,2.71,126,566
19958,12.0,12.5,33,421,210.0,3.85,4.1,296,886
19958,8.8,9.15,256,166,215.0,5.6,5.9,370,800
19958,6.2,6.45,658,749,220.0,7.9,8.3,218,872
19958,4.2,4.4,1257,1365,225.0,10.5,11.25,246,790
19958,2.63,2.76,663,1647,230.0,14.05,15.05,9,450
19958,1.56,1.65,711,2491,235.0,18.1,18.9,53,445
19958,0.93,0.99,1185,3336,240.0,22.5,23.35,0,58
19958,0.53,0.59,166,944,245.0,26.55,28.15,0,22
19958,0.32,0.36,740,2131,250.0,31.5,33.2,0,1
19958,0.2,0.22,93,917,255.0,36.3,38.2,0,0
19958,0.14,0.15,95,587,260.0,41.45,43.15,0,0
19958,0.1,0.11,465,1248,265.0,46.3,48.15,0,0
19958,0.04,0.08,7,502,270.0,51.45,53.15,0,0
19958,0.03,0.07,18,221,275.0,56.3,58.15,0,0
19958,0.02,0.07,0,74,280.0,61.45,63.15,0,0
19958,0.02,0.05,6,101,285.0,66.3,68.1,0,0
19958,0.01,0.06,0,86,290.0,71.45,73.1,0,0
19958,0.0,0.05,5,16,295.0,76.3,78.1,0,0
19958,0.0,0.05,0,1540,300.0,81.45,83.1,0,0
19965,117.25,118.3,2,0,100.0,0.0,0.07,0,0
19965,112.3,113.35,0,0,105.0,0.0,0.28,0,0
19965,107.35,108.4,0,0,110.0,0.0,0.08,0,0
19965,102.4,103.4,0,0,115.0,0.0,0.09,0,1
19965,97.5,98.45,0,0,120.0,0.0,0.1,0,1
19965,92.45,93.45,0,0,125.0,0.0,0.11,0,0
19965,87.45,88.5,0,0,130.0,0.0,0.12,0,0
19965,82.5,84.55,0,1,135.0,0.0,0.13,0,0
19965,77.55,79.6,0,3,140.0,0.0,0.23,0,0
19965,72.6,73.65,0,1,145.0,0.04,0.13,0,0
19965,67.65,68.7,0,1,150.0,0.07,0.14,4,0
19965,62.7,64.75,0,0,155.0,0.06,0.19,0,0
19965,57.9,59.8,0,0,160.0,0.09,0.21,6,24
19965,52.85,53.9,0,6,165.0,0.14,0.24,2,49
19965,47.9,49.0,0,8,170.0,0.24,0.28,6,18
19965,43.0,44.1,0,10,175.0,0.31,0.33,7,30
19965,38.15,39.2,0,46,180.0,0.38,0.5,18,131
19965,33.35,34.45,4,26,185.0,0.54,0.71,53,79
19965,28.9,29.65,15,106,190.0,0.81,0.94,78,550
19965,24.5,25.0,6,31,195.0,1.26,1.47,70,235
19965,20.3,20.7,172,2139,200.0,1.96,2.12,1209,2176
19965,16.2,16.65,60,87,205.0,2.92,3.05,123,527
19965,12.7,13.25,88,156,210.0,4.3,4.5,221,752
19965,9.5,9.9,175,228,215.0,6.05,6.45,308,369
19965,6.95,7.15,2037,882,220.0,8.3,8.75,262,433
